longitude,latitude,incident_id,date,time,description,type
35.9894210752,-78.8290367076,18001124,2018-01-10,04:31,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0435720319,-78.847636416,18001129,2018-01-10,05:09,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9867670383,-78.8802001512,18001151,2017-12-23,20:00,BURGLARY - FORCIBLE ENTRY,BREAK IN
35.9902007361,-78.9184713434,18001154,2018-01-09,20:00,BURGLARY - FORCIBLE ENTRY,BREAK IN
35.9648079545,-78.9075455164,18001167,2018-01-10,13:17,ALL OTHER CRIMINAL OFFENSES,TRESPASS OR UNW
35.9415690123,-78.9065650513,18001176,2018-01-10,14:30,LARCENY - SHOPLIFTING,LARCENY
35.9911705588,-78.8777662026,18001183,2018-01-10,15:29,DEATH INVESTIGATION,CARDIAC OR RESP
36.0280000822,-78.9104068693,18001197,2018-01-10,16:40,ROBBERY - INDIVIDUAL,ARMED ROBBERY
35.8718803867,-78.9348256005,18001233,2018-01-10,08:30,BURGLARY - FORCIBLE ENTRY,BREAK IN
35.8846594509,-78.8848598719,18001241,2018-01-10,23:19,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.8950075304,-78.846863952,18001246,2018-01-11,01:12,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0248934939,-78.9225902027,18001251,2018-01-11,01:39,ROBBERY - INDIVIDUAL,COMMON LAW ROBB
35.9515176641,-78.9664870644,18001266,2018-01-11,06:12,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0600596371,-78.8906506833,18001271,2018-01-11,07:38,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0042157489,-78.8774619662,18001276,2018-01-11,06:40,LARCENY - FROM MOTOR VEHICLE,BREAK IN VEHICL
35.9895949443,-78.9263379599,18001296,2018-01-10,20:30,LARCENY - FROM MOTOR VEHICLE,BREAK IN VEHICL
35.9892850792,-78.9231760689,18001312,2018-01-10,23:15,LARCENY - FROM MOTOR VEHICLE,BREAK IN VEHICL
35.9500337033,-78.9917538632,18001334,2017-10-11,17:27,LARCENY - SHOPLIFTING,LARCENY
36.012860345,-78.9336283555,18001337,2018-01-11,14:00,LARCENY - POCKET-PICKING,LARCENY
36.0513331178,-78.9031713106,18001346,2018-01-11,16:49,AGGRAVATED ASSAULT,SOUND OF SHOTS
35.9183579601,-78.9572660455,18001359,2018-01-11,17:50,LARCENY - SHOPLIFTING,SHOPLIFTER
35.9839743879,-78.8721265467,18001353,2018-01-11,17:53,SIMPLE ASSAULT (PHYSICAL ASSAULT NOT AGGRAVATED),DOMESTIC VIOLEN
35.9771194399,-78.7934784794,18001368,2018-01-10,10:29,FRAUD - FALSE PRETENSE,FRAUD
35.9922013199,-78.8853325076,18001377,2018-01-11,19:42,DRIVING WHILE IMPAIRED,VEHICLE STOP
35.989875605,-78.9020688168,18001380,2018-01-11,18:31,VANDALISM TO AUTO (NOT ACCIDENTAL),DAMAGE TO PROPE
36.0128384889,-78.9456580952,18001391,2018-01-11,22:32,DV INFO REPORT (NO CRIME),DOMESTIC VIOLEN
35.9412758863,-78.8644454808,18001402,2018-01-12,01:17,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9714777277,-78.9388982842,18001414,2018-01-12,03:05,DRIVING WHILE IMPAIRED,VEHICLE STOP
35.8830146885,-78.8374021579,18001412,2018-01-12,03:09,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9582308701,-78.9761233094,18001417,2018-01-12,03:45,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.988833867,-78.8852388407,18001420,2018-01-12,04:11,ALL TRAFFIC (EXCEPT DWI),ABANDONED VEHIC
36.0348968127,-78.8646201099,18001425,2018-01-12,05:25,SIMPLE ASSAULT (PHYSICAL ASSAULT NOT AGGRAVATED),DOMESTIC VIOLEN
36.030261898,-78.8727587884,18001427,2018-01-12,06:15,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9457588857,-78.9898251752,18001437,2018-01-12,00:50,LARCENY - AUTOMOBILE PARTS OR ACCESSORIES,LARCENY
35.9905489417,-78.9294627544,18001440,2018-01-11,19:00,BURGLARY - FORCIBLE ENTRY,DAMAGE TO PROPE
35.9999732379,-78.9109068503,18001442,2018-01-12,10:00,LARCENY - FROM MOTOR VEHICLE,BREAK IN VEHICL
35.9655539624,-78.9596735332,18001452,2018-01-12,13:00,LARCENY - SHOPLIFTING,SHOPLIFTER
35.9311873512,-78.7909641739,18001472,2018-01-12,16:47,FRAUD - IMPERSONATION,FRAUD
36.014033676,-78.9459772356,18001473,2018-01-12,16:50,VANDALISM TO PROP (NOT ACCIDENTAL),DAMAGE TO PROPE
35.8693562498,-78.853833803,18001490,2018-01-12,09:30,BURGLARY - FORCIBLE ENTRY,BREAK IN
35.9418289968,-78.9045270399,18001502,2018-01-12,22:01,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0030060148,-78.8661660142,18001512,2018-01-12,23:31,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.991003318,-78.8675248906,18001516,2018-01-12,23:58,DRUG/NARCOTIC VIOLATIONS - POSSESS/SELL MARIJUANA,VEHICLE STOP
35.9427627728,-78.921144242,18001524,2018-01-13,01:34,BURGLARY - FORCIBLE ENTRY,SUSPICIOUS PERS
36.0198335072,-78.944953835,18001521,2018-01-13,01:52,RECOVERED STOLEN VEHICLE (OTHER JURISDICTION),STOLEN VEHICLE
36.0410033749,-78.8902567496,18001520,2018-01-13,01:53,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0050479171,-78.9521347358,18001522,2018-01-13,02:02,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0001775759,-78.9121005967,18001526,2018-01-13,02:15,RECOVERED STOLEN PROPERTY (OTHER JURISDICTION),FIGHT
35.9429530102,-78.917386079,18001531,2018-01-13,02:59,BURGLARY - FORCIBLE ENTRY,BREAK IN IN PRO
36.0402559366,-78.8876614589,18001538,2018-01-13,04:38,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9254250644,-78.8098855596,18001546,2018-01-13,00:01,LARCENY - FROM MOTOR VEHICLE,BREAK IN VEHICL
35.9431466054,-78.9059895872,18001553,2018-01-13,10:14,CALLS FOR SERVICE (NO CRIME),ATTEMPTED SUICI
36.0245569144,-78.8976446238,18001555,2018-01-06,15:30,BURGLARY - FORCIBLE ENTRY,BREAK IN
36.0034769408,-78.8662822199,18001558,2018-01-13,11:06,FRAUD - CONFIDENCE GAMES/TRICKERY,FRAUD
35.9867012274,-78.906070085,18001562,2018-01-13,04:30,LARCENY - FROM MOTOR VEHICLE,BREAK IN VEHICL
36.0207294268,-78.9100114802,18001570,2018-01-13,13:30,ALL OTHER CRIMINAL OFFENSES,VEHICLE STOP
36.0091079431,-78.9513535908,18001569,2017-12-26,14:14,LARCENY - ALL OTHER,LARCENY
36.0212962766,-78.8474692557,18001603,2018-01-13,19:00,VANDALISM TO AUTO (NOT ACCIDENTAL),VANDALISM
36.0238413916,-78.9550517764,18001607,2018-01-13,19:14,LARCENY - FROM MOTOR VEHICLE,BREAK IN VEHICL
35.9152118683,-78.9608228615,18001610,2018-01-13,23:38,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.028917403,-78.8454400974,18001779,2018-01-11,14:00,LARCENY - SHOPLIFTING,LARCENY - SHOPL
35.986482199,-78.8807880179,18001613,2018-01-14,00:10,SIMPLE ASSAULT (PHYSICAL ASSAULT NOT AGGRAVATED),DOMESTIC VIOLEN
35.9412818484,-78.8644443052,18001612,2018-01-14,00:25,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0332110647,-78.9126984734,18001618,2018-01-14,02:32,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.958376138,-78.9760029799,18001620,2018-01-14,03:31,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0415381155,-78.8903775658,18001623,2018-01-14,05:40,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9912494991,-78.8801169667,18001626,2018-01-14,06:41,AGGRAVATED ASSAULT,ASSAULT
35.8990428186,-78.885666558,18001639,2018-01-14,09:54,LARCENY - FROM COIN-OPERATED DEVICE,VANDALISM
35.9074081367,-78.8917286034,18001660,2018-01-14,13:01,DEATH INVESTIGATION,UNKNOWN PROBLEM
35.9425657177,-78.9621224433,18005110,2018-02-13,13:00,BURGLARY - FORCIBLE ENTRY,ALARM
35.8787022443,-78.8494553413,18005151,2018-02-13,22:11,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0037675784,-78.8715400128,18005166,2018-02-14,02:13,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9953237362,-78.885108275,18005167,2018-02-14,02:19,SIMPLE ASSAULT (PHYSICAL ASSAULT NOT AGGRAVATED),TRESPASS OR UNW
36.0398036076,-78.891400906,18005172,2018-02-14,04:50,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0877033438,-78.9055231586,18005191,2018-02-14,08:50,SUSPICIOUS ACTIVITY,SUSPICIOUS PERS
35.9762660211,-78.9355302809,18005111,2018-02-14,10:45,DRUG/NARCOTIC VIOLATIONS - POSSESS/SELL MARIJUANA,DRUGS
35.9030903688,-78.9542035892,18005224,2018-02-14,14:42,LARCENY - SHOPLIFTING,LARCENY
36.0222313694,-78.9098325824,18005244,2018-02-14,16:55,DRUG/NARCOTIC VIOLATIONS - POSSESS/SELL MARIJUANA,DRUGS
35.8811909432,-78.8502870642,18005259,2018-02-14,17:40,MOTOR VEHICLE THEFT - AUTOMOBILE,LARCENY OF VEHI
36.001253991,-78.8478662482,18005267,2018-02-14,20:57,DV INFO REPORT (NO CRIME),DOMESTIC VIOLEN
35.9765628166,-78.9005816533,18005269,2018-02-11,19:00,SIMPLE ASSAULT (PHYSICAL ASSAULT NOT AGGRAVATED),DOMESTIC VIOLEN
36.0377586505,-78.8934000686,18005268,2018-02-14,21:15,LARCENY - SHOPLIFTING,SHOPLIFTER
36.0559737894,-78.8914580592,18005271,2018-02-14,22:15,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9951221705,-78.8827054671,18005357,2018-02-15,14:37,FOUND PROPERTY,LOST OR FOUND P
36.0168433292,-78.9115335664,18005281,2018-02-15,01:30,BURGLARY - FORCIBLE ENTRY,ALARM
35.8703040493,-78.8521402824,18005278,2018-02-15,02:01,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9694028461,-78.9390859404,18005285,2018-02-15,02:24,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.8852653281,-78.8847852317,18005287,2018-02-15,02:31,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9969168673,-78.910370881,18005288,2018-02-15,02:40,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0407983596,-78.8902131309,18005291,2018-02-15,02:55,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.04093413,-78.8904511388,18005294,2018-02-15,03:55,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9010141272,-78.8944876615,18005300,2018-02-15,04:30,BURGLARY - FORCIBLE ENTRY,BREAK IN
36.0308187189,-78.9338600525,18005305,2018-02-14,19:00,BURGLARY - FORCIBLE ENTRY,BREAK IN
36.0067904124,-78.9095966557,18005311,2018-02-14,21:00,LARCENY - FROM MOTOR VEHICLE,BREAK IN VEHICL
35.9833504039,-78.9102602663,18005308,2018-01-30,09:24,LARCENY - SHOPLIFTING,FRAUD
36.0508271885,-78.9031736335,18005316,2018-02-15,10:25,LIQUOR LAW - POSSESSING/CONCEALING TAX PAID LIQUOR,FOOT  PATROL
35.9165962723,-78.9196048636,18005333,2018-01-23,02:00,LARCENY - FROM MOTOR VEHICLE,VEHICLE STOP
35.9982804551,-78.8827500245,18005361,2018-02-15,14:48,VANDALISM TO PROP (NOT ACCIDENTAL),DOMESTIC VIOLEN
35.9675780779,-78.9555809663,18005359,2017-12-28,11:00,FRAUD - FALSE PRETENSE,LARCENY
36.0149963416,-78.8895691209,18005373,2018-02-01,12:00,SIMPLE ASSAULT-ALL OTHER,DOMESTIC VIOLEN
35.9055223238,-78.8880936522,18005389,2018-02-15,17:52,ALL TRAFFIC (EXCEPT DWI),MOTOR VEHICLE A
35.9523516315,-78.8989907043,18005384,2018-02-15,17:55,ROBBERY - INDIVIDUAL,ARMED ROBBERY
35.9938776659,-78.8737382122,18005394,2018-02-15,18:42,LARCENY - FROM MOTOR VEHICLE,LARCENY
35.9690499902,-78.9168969634,18005390,2018-02-15,19:15,VANDALISM TO AUTO (NOT ACCIDENTAL),DISTURBANCE WIT
35.9641007312,-78.9233891018,18005400,2018-02-14,23:00,SIMPLE ASSAULT (PHYSICAL ASSAULT NOT AGGRAVATED),DOMESTIC VIOLEN
35.9708819967,-78.9517182924,18005406,2018-02-14,11:00,LARCENY - FROM MOTOR VEHICLE,BREAK IN VEHICL
35.8976492775,-78.8978053359,18005417,2018-02-16,00:00,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.8853087501,-78.8848788858,18005420,2018-02-16,00:00,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9422358771,-78.8627785964,18005421,2018-02-16,00:00,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.8832322458,-78.8371488929,18005424,2018-02-16,00:00,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9931020073,-78.8972481835,18005439,2018-02-16,09:14,ALL OTHER OFFENSES-TRESPASSING,TRESPASS OR UNW
36.0600730483,-78.9290155742,18005448,2018-02-16,10:50,LARCENY - SHOPLIFTING,LARCENY
35.9753902846,-78.8867632246,18005450,2018-02-16,10:12,LARCENY - FROM BUILDING,LARCENY
35.9626604246,-78.9573243818,18005465,2018-02-16,14:15,AGGRAVATED ASSAULT,DISTURBANCE WIT
36.0086905826,-78.9272946611,18005469,2018-02-15,18:00,LARCENY - FROM MOTOR VEHICLE,BREAK IN
36.0116483589,-78.943439317,18005489,2018-02-16,21:30,VANDALISM TO PROP (NOT ACCIDENTAL),DOMESTIC VIOLEN
35.9637182752,-78.9334926733,18005504,2018-02-17,02:44,SIMPLE ASSAULT (PHYSICAL ASSAULT NOT AGGRAVATED),DOMESTIC VIOLEN
36.0563195487,-78.8996566176,18005516,2018-02-17,08:20,SIMPLE ASSAULT (PHYSICAL ASSAULT NOT AGGRAVATED),DOMESTIC VIOLEN
36.0152462592,-78.9181602655,18005524,2018-02-17,10:20,NON-CRIMINAL DETAINMENT (INVOLUNTARY COMMITMENT),RUNAWAY
36.0292671689,-78.8735258772,18005542,2018-02-16,14:30,LARCENY - ALL OTHER,LARCENY
35.9847054244,-78.8901388038,18005537,2018-02-17,12:57,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9521736818,-78.9830653121,18005541,2018-02-15,12:00,BURGLARY - FORCIBLE ENTRY,BREAK IN
35.90084781,-78.8873220928,18005552,2018-02-17,05:40,FORGERY - POSSESSING/CONCEALING,FRAUD
35.9870837988,-78.8990394464,18005563,2018-02-17,15:07,FRAUD - OTHER,FRAUD
35.984463502,-78.8935031864,18005561,2018-02-17,16:14,AGGRAVATED ASSAULT,DISTURBANCE WIT
35.9359956183,-78.8206914377,18005570,2018-02-17,18:37,SUSPICIOUS ACTIVITY,RAPE NO EMS
35.9536341592,-78.9857325655,18005575,2018-02-17,19:18,ROBBERY - INDIVIDUAL,HOME INVASION
36.0517500812,-78.9215111198,18005589,2018-02-18,01:00,LARCENY - FROM MOTOR VEHICLE,BREAK IN VEHICL
35.9741041617,-78.8936252879,18005603,2018-02-18,10:53,DRIVING WHILE IMPAIRED,MOTOR VEHICLE C
35.9956582199,-78.9083264352,18005611,2018-02-18,12:41,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9712347046,-78.937975413,18005613,2018-02-18,12:54,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0380703227,-78.9678550641,18005637,2018-02-08,17:00,CALLS FOR SERVICE (NO CRIME),FRAUD
35.962411991,-78.976366971,18005639,2018-02-18,16:58,MISSING PERSON,DISTURBANCE
36.0474874907,-78.9057129655,18005649,2018-02-18,00:00,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.028714667,-78.8832276697,18005651,2018-02-18,00:00,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0379226096,-78.8774147694,18005655,2018-02-17,18:00,LARCENY - FROM MOTOR VEHICLE,BREAK IN VEHICL
36.0288663291,-78.8923684803,18005658,2018-02-18,20:00,FRAUD - IMPERSONATION,FRAUD
35.9957107253,-78.8852379636,18005670,2018-02-18,23:31,DRUG EQUIPMENT/PARAPHERNALIA - POSSESSING/CONCEALING,SUSPICIOUS PERS
35.884580312,-78.8246873955,18005685,2018-02-18,23:23,NON-CRIMINAL DETAINMENT (INVOLUNTARY COMMITMENT),UNKNOWN PROBLEM
35.8808347827,-78.8288321077,18005665,2018-02-18,23:44,TOWED/ABANDONED VEHICLE,PRIVATE TOW
36.0064440214,-78.8678048214,18005674,2018-02-19,02:05,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9641663762,-78.9191160084,18005677,2018-02-19,02:50,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9057926752,-78.9075684256,18005692,2018-02-19,06:56,TOWED/ABANDONED VEHICLE,PRIVATE TOW
35.9825634339,-78.8128311073,18005704,2018-02-19,07:45,MOTOR VEHICLE THEFT - AUTOMOBILE,LARCENY OF VEHI
35.9800730354,-78.8757847491,18005708,2018-02-18,17:00,BURGLARY - FORCIBLE ENTRY,BREAK IN
36.0323312219,-78.8905628371,18005707,2017-02-19,12:00,LOST PROPERTY,LARCENY
36.0024177335,-78.8832893513,18005717,2018-02-19,10:01,SIMPLE ASSAULT (PHYSICAL ASSAULT NOT AGGRAVATED),DOMESTIC VIOLEN
35.9074473513,-78.982343035,18005713,2018-02-18,22:00,LARCENY - FROM MOTOR VEHICLE,BREAK IN VEHICL
